Name,Brand,Link,Price,OldPrice,BestSeller,Stock,Coupon,RevNo,Stars
Socks Kids Boys Short Spiderman,junior,/-/en/Junior-Socks-Short-Spiderman-Multicolor/dp/B09RJ9J23T/ref=sr_1_1?m=A1ZVRGNO5AYLOV&qid=1653396758&refinements=p_6%3AA1ZVRGNO5AYLOV&s=fashion&sr=1-1,39,,,,,,
EVA Crocs Printed Frozen For Girls-Baby,Leomil,/-/en/Leomil-Printed-Frozen-Girls-Baby-Blue-28/dp/B09XVLY264/ref=sr_1_2?m=A1ZVRGNO5AYLOV&qid=1653396758&refinements=p_6%3AA1ZVRGNO5AYLOV&s=fashion&sr=1-2,260,,,,,,
men-Side Pocket Comfy Taining Suit-Navy,off cliff,/-/en/off-cliff-men-Side-Pocket-Taining-Suit-Navy/dp/B09PJVM5Y5/ref=sr_1_3?m=A1ZVRGNO5AYLOV&qid=1653396758&refinements=p_6%3AA1ZVRGNO5AYLOV&s=fashion&sr=1-3,279,,,,,,
mens 6204899 GTMU21463 T-Shirt (pack of 1),SP-Splash Basic,/-/en/SP-Splash-Basic-6204899-GTMU21463-TopsTshirtsSZAP-L/dp/B09RK8B7FV/ref=sr_1_4?m=A1ZVRGNO5AYLOV&qid=1653396758&refinements=p_6%3AA1ZVRGNO5AYLOV&s=fashion&sr=1-4,120,,Limited time deal,,,,
Piping Pack Full Zip TRAINING SWEATSHIRTS For Women,Reebok,/-/en/Reebok-Piping-TRAINING-SWEATSHIRTS-Women/dp/B096FSP925/ref=sr_1_5?m=A1ZVRGNO5AYLOV&qid=1653396758&refinements=p_6%3AA1ZVRGNO5AYLOV&s=fashion&sr=1-5,619,,Best Seller,,,,
"RUN 70s GY3889 RUNNING bold gold SHOES - LOW (NON FOOTBALL) For Men, Size 43 1/3",adidas,/-/en/adidas-GY3889-RUNNING-bold-SHOES/dp/B09TZ48W79/ref=sr_1_6?m=A1ZVRGNO5AYLOV&qid=1653396758&refinements=p_6%3AA1ZVRGNO5AYLOV&s=fashion&sr=1-6,"1,399",,Limited time deal,,Extra 30% Off adidas and reebok,,
Silver Stainless Blue dial Watch for Women's YSS222G,Swatch,/-/en/Swatch-Silver-Stainless-Womens-YSS222G/dp/B000UVTZXM/ref=sr_1_7?m=A1ZVRGNO5AYLOV&qid=1653396758&refinements=p_6%3AA1ZVRGNO5AYLOV&s=fashion&sr=1-7,"1,308",,,Only 3 left in stock - order soon.,,,
Men Slipper,Grinta,/-/en/Grinta-Men-Slipper-Green-45EU/dp/B09Y4HS1PN/ref=sr_1_8?m=A1ZVRGNO5AYLOV&qid=1653396758&refinements=p_6%3AA1ZVRGNO5AYLOV&s=fashion&sr=1-8,255,,,,,,
"Shirt Ls Striped For Men, Purple",Dockland,/-/en/Dockland-Shirt-Striped-Men-Purple/dp/B09L7866VC/ref=sr_1_9?m=A1ZVRGNO5AYLOV&qid=1653396758&refinements=p_6%3AA1ZVRGNO5AYLOV&s=fashion&sr=1-9,249,,,,,,
Dejavu,Dejavu,/-/en/Dejavu-BRG-COCO-Loafer-40/dp/B09L19HNS4/ref=sr_1_10?m=A1ZVRGNO5AYLOV&qid=1653396758&refinements=p_6%3AA1ZVRGNO5AYLOV&s=fashion&sr=1-10,369,,,,,2,5.0 out of 5 stars
Comfort Cotton Bathrobe - Orange,Comfort,/-/en/Comfort-Cotton-Bathrobe-Orange/dp/B08WJM6Y7H/ref=sr_1_11?m=A1ZVRGNO5AYLOV&qid=1653396758&refinements=p_6%3AA1ZVRGNO5AYLOV&s=fashion&sr=1-11,574,,Limited time deal,Only 1 left in stock - order soon.,,,
Men Casual Shoes,Grinta,/-/en/Grinta-Men-Casual-Shoes-HAVAN/dp/B09PVKXP1W/ref=sr_1_12?m=A1ZVRGNO5AYLOV&qid=1653396758&refinements=p_6%3AA1ZVRGNO5AYLOV&s=fashion&sr=1-12,459,EGP 575.00,,,,,
Men Slip on Shoes,Grinta,/-/en/Grinta-Men-Slip-Shoes-NAVY/dp/B09DDHV4N5/ref=sr_1_13?m=A1ZVRGNO5AYLOV&qid=1653396758&refinements=p_6%3AA1ZVRGNO5AYLOV&s=fashion&sr=1-13,339,,,,,,
Plain Elastic Trim Cotton Briefs for Women-Yellow-3XL,Dahab,/-/en/Dahab-Elastic-Cotton-Briefs-Women-Yellow-3XL/dp/B09JGSLZ5P/ref=sr_1_14?m=A1ZVRGNO5AYLOV&qid=1653396758&refinements=p_6%3AA1ZVRGNO5AYLOV&s=fashion&sr=1-14,39,,Limited time deal,,,,
Printed Cap Sleeves Girls Pajama Set,Andora,/-/en/Andora-Printed-Cap-Sleeves-Girls-Pajama/dp/B09GM95TGL/ref=sr_1_15?m=A1ZVRGNO5AYLOV&qid=1653396758&refinements=p_6%3AA1ZVRGNO5AYLOV&s=fashion&sr=1-15,179,,Limited time deal,,,1,4.0 out of 5 stars
off cliff Solid T Shirt And Checkered Pants Pajama Set men,offcliff,/-/en/cliff-Solid-Checkered-Pajama-black/dp/B09VFSGZCD/ref=sr_1_16?m=A1ZVRGNO5AYLOV&qid=1653396758&refinements=p_6%3AA1ZVRGNO5AYLOV&s=fashion&sr=1-16,,,Limited time deal,,,,
